"Export for HP:0000118"
"Gene","Associated diseases"
"TP63 (8626)","ANKYLOBLEPHARON-ECTODERMAL DEFECTS-CLEFT... (OMIM:106260), ADULT SYNDROME (OMIM:103285), SPLIT-HAND/FOOT MALFORMATION 4 (OMIM:605289), LIMB-MAMMARY SYNDROME (OMIM:603543), ECTRODACTYLY, ECTODERMAL DYSPLASIA, AND ... (OMIM:604292), RAPP-HODGKIN SYNDROME (OMIM:129400)"
"ASL (435)","ARGININOSUCCINIC ACIDURIA (OMIM:207900)"
"VVS (105031671)","SYNCOPE, FAMILIAL VASOVAGAL (OMIM:609289)"
"ASNS (440)","ASPARAGINE SYNTHETASE (OMIM:108370), ASPARAGINE SYNTHETASE DEFICIENCY (OMIM:615574)"
"MCM9 (254394)","OVARIAN DYSGENESIS 4 (OMIM:616185)"
"ASPA (443)","CANAVAN DISEASE (OMIM:271900)"
"RNASET2 (8635)","LEUKOENCEPHALOPATHY, CYSTIC, WITHOUT MEG... (OMIM:612951)"
"ASPH (444)","FACIAL DYSMORPHISM, LENS DISLOCATION, AN... (OMIM:601552)"
"ASS1 (445)","CITRULLINEMIA, CLASSIC (OMIM:215700)"
"MRXSA (57791)","ARMFIELD X-LINKED MENTAL RETARDATION SYN... (OMIM:300261)"
"MRXSAB (57792)","X-LINKED INTELLECTUAL DISABILITY, ABIDI ... (OMIM:300262)"
"DCHS1 (8642)","VAN MALDERGEM SYNDROME 1 (OMIM:601390)"
"PTCH2 (8643)","BASAL CELL NEVUS SYNDROME (OMIM:109400), MEDULLOBLASTOMA (OMIM:155255), BASAL CELL CARCINOMA, SUSCEPTIBILITY TO,... (OMIM:605462)"
"GATAD1 (57798)","CARDIOMYOPATHY, DILATED, 2B (OMIM:614672)"
"SLC17A8 (246213)","DEAFNESS, AUTOSOMAL DOMINANT 25 (OMIM:605583)"
"ABCB11 (8647)","CHOLESTASIS, BENIGN RECURRENT INTRAHEPAT... (OMIM:605479), CHOLESTASIS, PROGRESSIVE FAMILIAL INTRAH... (OMIM:601847)"
"SIX5 (147912)","BRANCHIOOTORENAL SYNDROME 2 (OMIM:610896)"
"SERPINC1 (462)","ANTITHROMBIN III DEFICIENCY (OMIM:613118)"
"ATD (465)","SHORT-RIB THORACIC DYSPLASIA 1 WITH OR W... (OMIM:208500)"
"ALDH4A1 (8659)","HYPERPROLINEMIA, TYPE II (OMIM:239510)"
"ATHS (470)","ATHEROSCLEROSIS SUSCEPTIBILITY (OMIM:108725)"
"ATIC (471)","AICAR TRANSFORMYLASE/IMP CYCLOHYDROLASE ... (OMIM:608688)"
"ATM (472)","BREAST CANCER (OMIM:114480), ATAXIA-TELANGIECTASIA (OMIM:208900)"
"HAMP (57817)","HEMOCHROMATOSIS, TYPE 2B (OMIM:613313)"
"ATP1A2 (477)","MIGRAINE, FAMILIAL HEMIPLEGIC, 2 (OMIM:602481), ALTERNATING HEMIPLEGIA OF CHILDHOOD 1 (OMIM:104290)"
"GRHL3 (57822)","VAN DER WOUDE SYNDROME 2 (OMIM:606713)"
"ATP1A3 (478)","DYSTONIA 12 (OMIM:128235), CEREBELLAR ATAXIA, AREFLEXIA, PES CAVUS,... (OMIM:601338), ALTERNATING HEMIPLEGIA OF CHILDHOOD 2 (OMIM:614820)"
"SLC4A4 (8671)","RENAL TUBULAR ACIDOSIS, PROXIMAL, WITH O... (OMIM:604278)"
"RNASEH1 (246243)","PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WIT... (OMIM:616479)"
"STX16 (8675)","PSEUDOHYPOPARATHYROIDISM, TYPE IB (OMIM:603233)"
"STX11 (8676)","HEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS, FAMI... (OMIM:603552)"
"FXYD2 (486)","HYPOMAGNESEMIA 2, RENAL (OMIM:154020)"
"ATP2A1 (487)","BRODY MYOPATHY (OMIM:601003)"
"ATP2A2 (488)","DARIER-WHITE DISEASE (OMIM:124200), ACROKERATOSIS VERRUCIFORMIS (OMIM:101900)"
"ATP2B3 (492)","SPINOCEREBELLAR ATAXIA, X-LINKED 1 (OMIM:302500)"
"ATP5A1 (498)","MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) D... (OMIM:615228), COMBINED OXIDATIVE PHOSPHORYLATION DEFIC... (OMIM:616045)"
"ALDH7A1 (501)","EPILEPSY, PYRIDOXINE-DEPENDENT (OMIM:266100)"
"OCA5 (101926885)","ALBINISM, OCULOCUTANEOUS, TYPE V (OMIM:615312)"
"DGAT1 (8694)","DIARRHEA 7 (OMIM:615863)"
"BDA1B (246260)","BRACHYDACTYLY, TYPE A1, B (OMIM:607004)"
"DNAH11 (8701)","CILIARY DYSKINESIA, PRIMARY, 7 (OMIM:611884)"
"LYRM7 (90624)","MITOCHONDRIAL COMPLEX III DEFICIENCY, NU... (OMIM:615838)"
"ATP5E (514)","MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) D... (OMIM:614053)"
"SERPINB7 (8710)","PALMOPLANTAR KERATODERMA, NAGASHIMA TYPE (OMIM:615598)"
"UBR1 (197131)","JOHANSON-BLIZZARD SYNDROME (OMIM:243800)"
"ATP6V1B1 (525)","RENAL TUBULAR ACIDOSIS, DISTAL, WITH PRO... (OMIM:267300)"
"ATP6V1B2 (526)","ZIMMERMANN-LABAND SYNDROME 2 (OMIM:616455)"
"CTSF (8722)","CEROID LIPOFUSCINOSIS, NEURONAL, 13 (OMIM:615362)"
"ATP7A (538)","SPINAL MUSCULAR ATROPHY, DISTAL, X-LINKE... (OMIM:300489), MENKES DISEASE (OMIM:309400), OCCIPITAL HORN SYNDROME (OMIM:304150)"
"ATP7B (540)","WILSON DISEASE (OMIM:277900)"
"EA8 (104326187)","EPISODIC ATAXIA, TYPE 8 (OMIM:616055)"
"ATR (545)","CUTANEOUS TELANGIECTASIA AND CANCER SYND... (OMIM:614564), SECKEL SYNDROME 1 (OMIM:210600)"
"ATRX (546)","MENTAL RETARDATION-HYPOTONIC FACIES SYND... (OMIM:309580), ALPHA-THALASSEMIA/MENTAL RETARDATION SYN... (OMIM:301040), ALPHA-THALASSEMIA MYELODYSPLASIA SYNDROM... (OMIM:300448)"
"CRADD (8738)","MENTAL RETARDATION, AUTOSOMAL RECESSIVE ... (OMIM:614499)"
"KIF1A (547)","SPASTIC PARAPLEGIA 30, AUTOSOMAL RECESSI... (OMIM:610357), NEUROPATHY, HEREDITARY SENSORY, TYPE IIC (OMIM:614213), MENTAL RETARDATION, AUTOSOMAL DOMINANT 9 (OMIM:614255)"
"AUH (549)","3-@METHYLGLUTACONIC ACIDURIA, TYPE I (OMIM:250950)"
"AVP (551)","DIABETES INSIPIDUS, NEUROHYPOPHYSEAL TYP... (OMIM:125700)"
"AVPR2 (554)","NEPHROGENIC SYNDROME OF INAPPROPRIATE AN... (OMIM:300539), DIABETES INSIPIDUS, NEPHROGENIC, X-LINKE... (OMIM:304800)"
"VAMAS6 (246319)","VITILIGOVTLG (OMIM:193200)"
"ADAM9 (8754)","CONE-ROD DYSTROPHY 9 (OMIM:612775)"
"TICAM1 (148022)","HERPES SIMPLEX ENCEPHALITIS, SUSCEPTIBIL... (OMIM:614850)"
"B2M (567)","HYPOPROTEINEMIA, HYPERCATABOLIC (OMIM:241600)"
"LRSAM1 (90678)","CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYP... (OMIM:614436)"
"STAC3 (246329)","NATIVE AMERICAN MYOPATHY (OMIM:255995)"
"BAAT (570)","HYPERCHOLANEMIA, FAMILIAL (OMIM:607748)"
"NKX3-2 (579)","SPONDYLO-MEGAEPIPHYSEAL-METAPHYSEAL DYSP... (OMIM:613330)"
"FADD (8772)","INFECTIONS, RECURRENT, WITH ENCEPHALOPAT... (OMIM:613759)"
"BAX (581)","LEUKEMIA, ACUTE LYMPHOBLASTIC (OMIM:613065), COLORECTAL CANCER (OMIM:114500)"
"BBS1 (582)","BARDET-BIEDL SYNDROME 1 (OMIM:209900)"
"BBS2 (583)","BARDET-BIEDL SYNDROME 2 (OMIM:615981)"
"MPDZ (8777)","HYDROCEPHALUS, NONSYNDROMIC, AUTOSOMAL R... (OMIM:615219)"
"BBS4 (585)","BARDET-BIEDL SYNDROME 4 (OMIM:615982)"
"MYP3 (8782)","MYOPIA 3 (OMIM:603221)"
"BCHE (590)","BUTYRYLCHOLINESTERASE (OMIM:177400)"
"BCKDHA (593)","MAPLE SYRUP URINE DISEASE (OMIM:248600)"
"BCKDHB (594)","MAPLE SYRUP URINE DISEASE (OMIM:248600)"
"RGS9 (8787)","BRADYOPSIA (OMIM:608415)"
"CDAGS (574043)","CDAGS SYNDROME (OMIM:603116)"
"BCL2 (596)","B-CELL CLL/LYMPHOMA 2 (OMIM:151430)"
"EPRPDC (574044)","EPILEPSY, ROLANDIC, WITH PAROXYSMAL EXER... (OMIM:608105)"
"MRXSMP (574047)","MENTAL RETARDATION, X-LINKED, SYNDROMIC,... (OMIM:300519)"
"UROC1 (131669)","UROCANASE DEFICIENCY (OMIM:276880)"
"TNFRSF11A (8792)","OSTEOPETROSIS, AUTOSOMAL RECESSIVE 7 (OMIM:612301), POLYOSTOTIC OSTEOLYTIC DYSPLASIA, HEREDI... (OMIM:174810)"
"BCL3 (602)","B-CELL LEUKEMIA/LYMPHOMA 3 (OMIM:109560)"
"TNFRSF10B (8795)","SQUAMOUS CELL CARCINOMA, HEAD AND NECK (OMIM:275355)"
"BCL5 (603)","LEUKEMIA/LYMPHOMA, CHRONIC B-CELL, 5 (OMIM:151441)"
"PEX11B (8799)","PEROXISOME BIOGENESIS DISORDER 14B (OMIM:614920)"
"SUCLG1 (8802)","MITOCHONDRIAL DNA DEPLETION SYNDROME 9 (... (OMIM:245400)"
"SUCLA2 (8803)","MITOCHONDRIAL DNA DEPLETION SYNDROME 5 (... (OMIM:612073)"
"OPN1SW (611)","TRITANOPIA (OMIM:190900)"
"BCR (613)","LEUKEMIA, ACUTE LYMPHOBLASTIC (OMIM:613065), LEUKEMIA, CHRONIC MYELOID (OMIM:608232)"
"BCS1L (617)","GRACILE SYNDROME (OMIM:603358), LEIGH SYNDROME (OMIM:256000), MITOCHONDRIAL COMPLEX III DEFICIENCY, NU... (OMIM:124000), BJORNSTAD SYNDROME (OMIM:262000)"
"TUKLS (574049)","TUKEL SYNDROME (OMIM:609428)"
"DPM1 (8813)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:608799)"
"BANF1 (8815)","NESTOR-GUILLERMO PROGERIA SYNDROME (OMIM:614008)"
"DPM2 (8818)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:615042)"
"BDNF (627)","CENTRAL HYPOVENTILATION SYNDROME, CONGEN... (OMIM:209880), BULIMIA NERVOSA, SUSCEPTIBILITY TO, 1 (OMIM:607499)"
"HESX1 (8820)","SEPTOOPTIC DYSPLASIA (OMIM:182230)"
"CFB (629)","COMPLEMENT FACTOR B DEFICIENCY (OMIM:615561)"
"FGF17 (8822)","HYPOGONADOTROPIC HYPOGONADISM 20 WITH OR... (OMIM:615270)"
"FGF16 (8823)","METACARPAL 4-5 FUSION (OMIM:309630)"
"BFSP1 (631)","CATARACT, CORTICAL, JUVENILE-ONSET (OMIM:611391)"
"PTLAH (8830)","PATELLA APLASIA-HYPOPLASIA (OMIM:168860)"
"SYNGAP1 (8831)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 5 (OMIM:612621)"
"GRD1 (100312954)","GRAVES DISEASE (OMIM:275000)"
"BLK (640)","MATURITY-ONSET DIABETES OF THE YOUNG, TY... (OMIM:613375)"
"GMPS (8833)","LEUKEMIA, ACUTE MYELOID (OMIM:601626)"
"BLM (641)","BLOOM SYNDROME (OMIM:210900)"
"PVOP1 (100312952)","PELVIC ORGAN PROLAPSE (OMIM:176780)"
"BLVRA (644)","HYPERBILIVERDINEMIA (OMIM:614156)"
"WISP3 (8838)","ARTHROPATHY, PROGRESSIVE PSEUDORHEUMATOI... (OMIM:208230)"
"DNAAF3 (352909)","CILIARY DYSKINESIA, PRIMARY, 2 (OMIM:606763)"
"BMP1 (649)","OSTEOGENESIS IMPERFECTA, TYPE XIII (OMIM:614856)"
"PROM1 (8842)","MACULAR DYSTROPHY, RETINAL, 2 (OMIM:608051), STARGARDT DISEASE 4 (OMIM:603786), RETINITIS PIGMENTOSA 41 (OMIM:612095), CONE-ROD DYSTROPHY 12 (OMIM:612657)"
"BMP2 (650)","BRACHYDACTYLY, TYPE A2 (OMIM:112600)"
"BMP4 (652)","MICROPHTHALMIA, SYNDROMIC 6 (OMIM:607932), OROFACIAL CLEFT 11 CLEFT LIP, CONGENITAL... (OMIM:600625)"
"NPCA2 (100312951)","NASOPHARYNGEAL CARCINOMA (OMIM:161550)"
"BMPR1A (657)","POLYPOSIS SYNDROME, HEREDITARY MIXED, 2 (OMIM:610069), JUVENILE POLYPOSIS SYNDROME (OMIM:174900)"
"BMPR1B (658)","BRACHYDACTYLY, TYPE A2 (OMIM:112600), CHONDRODYSPLASIA, ACROMESOMELIC, WITH GE... (OMIM:609441)"
"BMPR2 (659)","PULMONARY VENOOCCLUSIVE DISEASE (OMIM:265450), PULMONARY HYPERTENSION, PRIMARY, 1 (OMIM:178600)"
"DST (667)","NEUROPATHY, HEREDITARY SENSORY AND AUTON... (OMIM:614653), EPIDERMOLYSIS BULLOSA SIMPLEX, AUTOSOMAL... (OMIM:615425)"
"FOXL2 (668)","BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS... (OMIM:110100), PREMATURE OVARIAN FAILURE 3 (OMIM:608996)"
"BPGM (669)","DIPHOSPHOGLYCERATE MUTASE DEFICIENCY OF ... (OMIM:222800)"
"PER2 (8864)","ADVANCED SLEEP-PHASE SYNDROME, FAMILIAL (OMIM:604348)"
"BRAF (673)","CARDIOFACIOCUTANEOUS SYNDROME 1 (OMIM:115150), LEOPARD SYNDROME 3 (OMIM:613707), LUNG CANCERALVEOLAR CELL CARCINOMA, INCL... (OMIM:211980), NOONAN SYNDROME 7 (OMIM:613706)"
"BRCA2 (675)","BREAST CANCER (OMIM:114480), PROSTATE CANCER (OMIM:176807), FANCONI ANEMIA, COMPLEMENTATION GROUP D1 (OMIM:605724), WILMS TUMOR 1 (OMIM:194070), BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPT... (OMIM:612555), PANCREATIC CANCER, SUSCEPTIBILITY TO, 2 (OMIM:613347)"
"SYNJ1 (8867)","PARKINSON DISEASE 20, EARLY-ONSET (OMIM:615530)"
"ST3GAL5 (8869)","AMISH INFANTILE EPILEPSY SYNDROME (OMIM:609056)"
"SQSTM1 (8878)","PAGET DISEASE OF BONE 3 (OMIM:167250), FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPH... (OMIM:616437)"
"BTD (686)","BIOTINIDASE DEFICIENCYMULTIPLE CARBOXYLA... (OMIM:253260)"
"BTK (695)","AGAMMAGLOBULINEMIA, X-LINKED (OMIM:300755), ISOLATED GROWTH HORMONE DEFICIENCY, TYPE... (OMIM:307200)"
"EIF2B4 (8890)","LEUKOENCEPHALOPATHY WITH VANISHING WHITE... (OMIM:603896)"
"EIF2B3 (8891)","LEUKOENCEPHALOPATHY WITH VANISHING WHITE... (OMIM:603896)"
"EIF2B2 (8892)","LEUKOENCEPHALOPATHY WITH VANISHING WHITE... (OMIM:603896)"
"BUB1B (701)","MOSAIC VARIEGATED ANEUPLOIDY SYNDROME 1 (OMIM:257300), COLORECTAL CANCER (OMIM:114500)"
"EIF2B5 (8893)","LEUKOENCEPHALOPATHY WITH VANISHING WHITE... (OMIM:603896)"
"MTMR2 (8898)","CHARCOT-MARIE-TOOTH DISEASE, TYPE 4B1 (OMIM:601382)"
"SERPING1 (710)","ANGIOEDEMA, HEREDITARY (OMIM:106100), COMPLEMENT COMPONENT 4, PARTIAL DEFICIEN... (OMIM:120790)"
"C1QA (712)","C1Q DEFICIENCY (OMIM:613652)"
"ACSF3 (197322)","COMBINED MALONIC AND METHYLMALONIC ACIDU... (OMIM:614265)"
"AP1S2 (8905)","MENTAL RETARDATION, X-LINKED, SYNDROMIC ... (OMIM:304340)"
"C1QB (713)","C1Q DEFICIENCY (OMIM:613652)"
"C1QC (714)","C1Q DEFICIENCY (OMIM:613652)"
"C1R (715)","COMPLEMENT COMPONENT C1R DEFICIENCY (OMIM:216950)"
"C1S (716)","COMPLEMENT COMPONENT C1S DEFICIENCY (OMIM:613783)"
"C2 (717)","COMPLEMENT COMPONENT 2 DEFICIENCY (OMIM:217000)"
"C3 (718)","COMPLEMENT COMPONENT 3 DEFICIENCY, AUTOS... (OMIM:613779)"
"SGCE (8910)","MYOCLONIC DYSTONIA (OMIM:159900)"
"C4A (720)","COMPLEMENT COMPONENT 4A DEFICIENCY (OMIM:614380)"
"C4B (721)","COMPLEMENT COMPONENT 4B DEFICIENCY (OMIM:614379)"
"BCL10 (8915)","GASTRIC LYMPHOMA, PRIMARY (OMIM:137245), FOLLICULAR LYMPHOMA (OMIM:613024), IMMUNODEFICIENCY 37 (OMIM:616098)"
"CAPN5 (726)","VITREORETINOPATHY, NEOVASCULAR INFLAMMAT... (OMIM:193235)"
"NIPA1 (123606)","SPASTIC PARAPLEGIA 6, AUTOSOMAL DOMINANT (OMIM:600363)"
"C5 (727)","COMPLEMENT COMPONENT 5 DEFICIENCY (OMIM:609536)"
"C6 (729)","COMPLEMENT COMPONENT 6 DEFICIENCY (OMIM:217050), COMPLEMENT COMPONENT 6 DEFICIENCY (OMIM:612446)"
"C7 (730)","COMPLEMENT COMPONENT 7 DEFICIENCY (OMIM:610102)"
"C8A (731)","COMPLEMENT COMPONENT 8 DEFICIENCY, TYPE ... (OMIM:613790)"
"C8B (732)","COMPLEMENT COMPONENT 8 DEFICIENCY, TYPE ... (OMIM:613789)"
"HERC2 (8924)","MENTAL RETARDATION, AUTOSOMAL RECESSIVE ... (OMIM:615516)"
"C9 (735)","COMPLEMENT COMPONENT 9 DEFICIENCY (OMIM:613825)"
"PHOX2B (8929)","NEUROBLASTOMA, SUSCEPTIBILITY TO, 2 (OMIM:613013), CENTRAL HYPOVENTILATION SYNDROME, CONGEN... (OMIM:209880)"
"BRAT1 (221927)","RIGIDITY AND MULTIFOCAL SEIZURE SYNDROME... (OMIM:614498)"
"AGBL1 (123624)","CORNEAL DYSTROPHY, FUCHS ENDOTHELIAL, 8 (OMIM:615523)"
"KYNU (8942)","HYDROXYKYNURENINURIA (OMIM:236800)"
"CA2 (760)","OSTEOPETROSIS, AUTOSOMAL RECESSIVE 3 (OMIM:259730)"
"CA4 (762)","RETINITIS PIGMENTOSA 17 (OMIM:600852)"
"CA5A (763)","CARBONIC ANHYDRASE VA DEFICIENCY, HYPERA... (OMIM:615751)"
"CA8 (767)","CEREBELLAR ATAXIA, MENTAL RETARDATION, A... (OMIM:613227)"
"CA12 (771)","HYPERCHLORHIDROSIS, ISOLATED (OMIM:143860)"
"CACD (772)","CHOROIDAL DYSTROPHY, CENTRAL AREOLAR, 1 (OMIM:215500)"
"CACNA1A (773)","SPINOCEREBELLAR ATAXIA 6 (OMIM:183086), EPISODIC ATAXIA, TYPE 2 (OMIM:108500), MIGRAINE, FAMILIAL HEMIPLEGIC, 1 (OMIM:141500)"
"CACNA1B (774)","DYSTONIA 23 (OMIM:614860)"
"CACNA1C (775)","BRUGADA SYNDROME 3 (OMIM:611875), TIMOTHY SYNDROME (OMIM:601005)"
"EKD2 (100124415)","EPISODIC KINESIGENIC DYSKINESIA 2 (OMIM:611031)"
"CACNA1D (776)","SINOATRIAL NODE DYSFUNCTION AND DEAFNESS (OMIM:614896), PRIMARY ALDOSTERONISM, SEIZURES, AND NEU... (OMIM:615474)"
"CACNA1F (778)","ALAND ISLAND EYE DISEASE (OMIM:300600), CONE-ROD DYSTROPHY, X-LINKED, 3 (OMIM:300476), NIGHT BLINDNESS, CONGENITAL STATIONARY, ... (OMIM:300071)"
"CACNA1S (779)","HYPOKALEMIC PERIODIC PARALYSIS, TYPE 1 (OMIM:170400)"
"DYT21 (100885773)","DYSTONIA 21 (OMIM:614588)"
"CACNB2 (783)","BRUGADA SYNDROME 4 (OMIM:611876)"
"CACNB4 (785)","EPISODIC ATAXIA, TYPE 5 (OMIM:613855)"
"SLC25A20 (788)","CARNITINE-ACYLCARNITINE TRANSLOCASE DEFI... (OMIM:212138)"
"CAD (790)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:616457)"
"PLOD3 (8985)","BONE FRAGILITY WITH CONTRACTURES, ARTERI... (OMIM:612394)"
"HSPB3 (8988)","NEURONOPATHY, DISTAL HEREDITARY MOTOR, T... (OMIM:613376)"
"TRPA1 (8989)","EPISODIC PAIN SYNDROME, FAMILIAL, 1 (OMIM:615040)"
"CALM1 (801)","LONG QT SYNDROME 14 (OMIM:616247), VENTRICULAR TACHYCARDIA, CATECHOLAMINERG... (OMIM:614916)"
"NOL3 (8996)","MYOCLONUS, FAMILIAL CORTICAL (OMIM:614937)"
"CALM2 (805)","LONG QT SYNDROME 15 (OMIM:616249)"
"KTCN8 (100885803)","KERATOCONUS 8 (OMIM:614628)"
"KTCN6 (100885802)","KERATOCONUS 6 (OMIM:614623)"
"KTCN5 (100885801)","KERATOCONUS 5 (OMIM:614622)"
"CALR (811)","MYELOFIBROSISMYELOFIBROSIS WITH MYELOID ... (OMIM:254450), THROMBOCYTHEMIA, ESSENTIAL (OMIM:187950)"
"TMPRSS6 (164656)","IRON-REFRACTORY IRON DEFICIENCY ANEMIA (OMIM:206200)"
"AAA1 (100329167)","AORTIC ANEURYSM, ABDOMINAL (OMIM:100070)"
"CAPN3 (825)","MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2A (OMIM:253600)"
"HYSP3 (100689211)","HYPOSPADIAS 3, AUTOSOMAL (OMIM:146450)"
"GFND1 (100689213)","GLOMERULOPATHY WITH FIBRONECTIN DEPOSITS... (OMIM:137950)"
"CAST (831)","PEELING SKIN WITH LEUKONYCHIA, ACRAL PUN... (OMIM:616295)"
"CASP8 (841)","BREAST CANCER (OMIM:114480), HEPATOCELLULAR CARCINOMA (OMIM:114550), LUNG CANCERALVEOLAR CELL CARCINOMA, INCL... (OMIM:211980), CASPASE 8 DEFICIENCY (OMIM:607271)"
"ISPD (729920)","MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (L... (OMIM:616052), MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (C... (OMIM:614643)"
"CASP10 (843)","GASTRIC CANCERGASTRIC CANCER, INTESTINAL... (OMIM:613659), LYMPHOMA, NON-HODGKIN, FAMILIAL (OMIM:605027), AUTOIMMUNE LYMPHOPROLIFERATIVE SYNDROME,... (OMIM:603909)"
"CASQ1 (844)","MYOPATHY, VACUOLAR, WITH CASQ1 AGGREGATE... (OMIM:616231)"
"CASQ2 (845)","VENTRICULAR TACHYCARDIA, CATECHOLAMINERG... (OMIM:611938)"
"CASR (846)","HYPERPARATHYROIDISM, NEONATAL SEVERE PRI... (OMIM:239200), HYPOCALCEMIA, AUTOSOMAL DOMINANT 1 (OMIM:601198), HYPOCALCIURIC HYPERCALCEMIA, FAMILIAL, T... (OMIM:145980)"
"CAT (847)","ACATALASEMIA (OMIM:614097)"
"CAV1 (857)","PARTIAL LIPODYSTROPHY, CONGENITAL CATARA... (OMIM:606721), PULMONARY HYPERTENSION, PRIMARY, 3 (OMIM:615343), LIPODYSTROPHY, CONGENITAL GENERALIZED, T... (OMIM:612526)"
"AIP (9049)","PITUITARY ADENOMA, GROWTH HORMONE-SECRET... (OMIM:102200), PITUITARY ADENOMA, PROLACTIN-SECRETING (OMIM:600634), PITUITARY ADENOMA, ACTH-SECRETING (OMIM:219090)"
"CAV3 (859)","LONG QT SYNDROME 9 (OMIM:611818), MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 1C (OMIM:607801), CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 1 (OMIM:192600), RIPPLING MUSCLE DISEASE (OMIM:606072), CREATINE PHOSPHOKINASE, ELEVATED SERUM (OMIM:123320), MYOPATHY, DISTAL, TATEYAMA TYPE (OMIM:614321)"
"PSTPIP1 (9051)","PYOGENIC STERILE ARTHRITIS, PYODERMA GAN... (OMIM:604416)"
"RUNX2 (860)","METAPHYSEAL DYSPLASIA WITH MAXILLARY HYP... (OMIM:156510), CLEIDOCRANIAL DYSPLASIA (OMIM:119600)"
"RUNX1 (861)","LEUKEMIA, ACUTE MYELOID (OMIM:601626), PLATELET DISORDER, FAMILIAL, WITH ASSOCI... (OMIM:601399)"
"SLC7A7 (9056)","LYSINURIC PROTEIN INTOLERANCE (OMIM:222700)"
"CBFB (865)","LEUKEMIA, ACUTE MYELOID (OMIM:601626)"
"SERPINA6 (866)","CORTICOSTEROID-BINDING GLOBULIN DEFICIEN... (OMIM:611489)"
"CBL (867)","NOONAN SYNDROME-LIKE DISORDER WITH OR WI... (OMIM:613563)"
"PAPSS2 (9060)","SPONDYLOEPIMETAPHYSEAL DYSPLASIA, PAKIST... (OMIM:612847)"
"SERPINH1 (871)","PRETERM PREMATURE RUPTURE OF THE MEMBRAN... (OMIM:610504), OSTEOGENESIS IMPERFECTA, TYPE X (OMIM:613848)"
"CBS (875)","HOMOCYSTINURIA DUE TO CYSTATHIONINE BETA... (OMIM:236200)"
"AD8 (353128)","ALZHEIMER DISEASE (OMIM:104300)"
"CCA1 (878)","CATARACT, CONGENITAL, CERULEAN TYPE, 1 (OMIM:115660)"
"CCAL1 (882)","CHONDROCALCINOSIS 1 (OMIM:600668)"
"CLDN1 (9076)","ICHTHYOSIS, LEUKOCYTE VACUOLES, ALOPECIA... (OMIM:607626)"
"KRIT1 (889)","CEREBRAL CAVERNOUS MALFORMATIONS (OMIM:116860)"
"CCND2 (894)","MEGALENCEPHALY-POLYMICROGYRIA-POLYDACTYL... (OMIM:615938)"
"UNC119 (9094)","IMMUNODEFICIENCY 13 (OMIM:615518)"
"TBX19 (9095)","ACTH DEFICIENCY, ISOLATED (OMIM:201400)"
"FCGR2C (9103)","THROMBOCYTOPENIC PURPURA, AUTOIMMUNE (OMIM:188030)"
"CD3D (915)","IMMUNODEFICIENCY 19 (OMIM:615617)"
"CD3E (916)","CD3 ANTIGEN, EPSILON SUBUNIT (OMIM:186830), IMMUNODEFICIENCY 18 (OMIM:615615)"
"CD3G (917)","IMMUNODEFICIENCY 17 (OMIM:615607), CD3 ANTIGEN, GAMMA SUBUNIT (OMIM:186740)"
"CD247 (919)","IMMUNODEFICIENCY DUE TO DEFECT IN CD3-ZE... (OMIM:610163)"
"CD4 (920)","OKT4 EPITOPE DEFICIENCY (OMIM:613949)"
"CD8A (925)","CD8 DEFICIENCY, FAMILIAL (OMIM:608957)"
"CD19 (930)","IMMUNODEFICIENCY, COMMON VARIABLE, 3 (OMIM:613493)"
"MS4A1 (931)","IMMUNODEFICIENCY, COMMON VARIABLE, 5 (OMIM:613495)"
"SMC3 (9126)","CORNELIA DE LANGE SYNDROME 3 (OMIM:610759)"
"PRPF4 (9128)","RETINITIS PIGMENTOSA 70 (OMIM:615922)"
"PRPF3 (9129)","RETINITIS PIGMENTOSA 18 (OMIM:601414)"
"AIFM1 (9131)","COMBINED OXIDATIVE PHOSPHORYLATION DEFIC... (OMIM:300816), COWCHOCK SYNDROME (OMIM:310490)"
"CD27 (939)","LYMPHOPROLIFERATIVE SYNDROME 2 (OMIM:615122)"
"KCNQ4 (9132)","DEAFNESS, AUTOSOMAL DOMINANT NONSYNDROMI... (OMIM:600101)"
"CD36 (948)","PLATELET GLYCOPROTEIN IV DEFICIENCY (OMIM:608404)"
"SCARB2 (950)","EPILEPSY, PROGRESSIVE MYOCLONIC 4, WITH ... (OMIM:254900)"
